R2_lm,R2_rf
-0.663525395,-0.338896125
-0.662984914,-0.33788844
-0.650411251,-0.334889783
-0.645630104,-0.333313804
-0.644660327,-0.330505541
-0.632146057,-0.329788681
-0.620449756,-0.329249114
-0.619448932,-0.327719853
-0.614274218,-0.325782241
-0.613211071,-0.324214984
-0.610218911,-0.321340934
-0.609277006,-0.313630163
-0.603614861,-0.306979811
-0.597848186,-0.306366722
-0.596792021,-0.296363972
-0.59180659,-0.293635653
-0.58526778,-0.293503937
-0.583583328,-0.291752786
-0.580224934,-0.291587158
-0.578876117,-0.289843549
-0.572608042,-0.288533397
-0.569049405,-0.28639096
-0.557156623,-0.286077109
-0.535619799,-0.273209732
-0.527723939,-0.265852489
-0.522179372,-0.265319259
-0.520722331,-0.262255572
-0.520616802,-0.260693907
-0.515769539,-0.259142231
-0.510800838,-0.257063022
-0.503341181,-0.252724612
-0.501024393,-0.251839912
-0.494613701,-0.249015018
-0.47557242,-0.23691386
-0.473303297,-0.23486509
-0.469878232,-0.231302957
-0.467815908,-0.230694894
-0.467342185,-0.228806699
-0.467304742,-0.222965186
-0.46221075,-0.216695685
-0.454325663,-0.216192486
-0.4537916,-0.214844251
-0.44525535,-0.212136878
-0.443743166,-0.211780418
-0.443143135,-0.206825707
-0.437366035,-0.205130635
-0.436393207,-0.204858658
-0.435712309,-0.203421261
-0.422340383,-0.202961361
-0.418393877,-0.200259915
-0.417823227,-0.194712616
-0.405223339,-0.193269758
-0.403921698,-0.192796394
-0.40321003,-0.192674932
-0.402223376,-0.192125482
-0.400239707,-0.191696887
-0.398369075,-0.188786436
-0.397217546,-0.186766763
-0.396052096,-0.186396845
-0.395249754,-0.185127875
-0.391551751,-0.181079114
-0.387402341,-0.180999001
-0.381604494,-0.176327439
-0.375339523,-0.174369676
-0.375030594,-0.17124785
-0.374975966,-0.170388664
-0.374668647,-0.168466429
-0.370138505,-0.168300671
-0.369886286,-0.164564759
-0.368109922,-0.163165037
-0.360619896,-0.159539599
-0.359191552,-0.159093671
-0.343311977,-0.158854768
-0.342735241,-0.158747366
-0.3385975,-0.150750271
-0.33852523,-0.149459887
-0.338199031,-0.148743527
-0.335371979,-0.146988644
-0.331696797,-0.143126505
-0.331477571,-0.14301737
-0.325969739,-0.142796742
-0.325108196,-0.135860438
-0.321383871,-0.132311916
-0.320798971,-0.130812383
-0.320041972,-0.125052014
-0.318500828,-0.123595346
-0.318222933,-0.123012863
-0.314477855,-0.122262901
-0.305493568,-0.12146408
-0.305161375,-0.120119733
-0.302573617,-0.119170209
-0.302327903,-0.1170821
-0.301707968,-0.116379351
-0.301307048,-0.115865209
-0.298601734,-0.113114298
-0.297856427,-0.112510457
-0.296563308,-0.111930812
-0.294068042,-0.109506959
-0.291006485,-0.108924827
-0.290291041,-0.104445921
-0.289343331,-0.103640859
-0.289329605,-0.103174923
-0.287091927,-0.101659313
-0.285687211,-0.100780709
